lat_degN	lon_degE	thick	splitphaseobs	phiSC_degNE	dtSC_s	SI
66.6713119195	88.8389651186         0.18        discSKKSSplit    17.9285036952     0.7      0.4640194321
68.9330996491	54.7895644115         0.18        discSKSNull               NaN     NaN     0.4640194321
67.3679569036	83.2283074458         0.18        discSKKSSplit    -8.9052461015     1.02     0.4218400576
68.3482793075	48.436131562          0.18        discSKSNull               NaN     NaN     0.4218400576
67.5426602812	41.0219760762         0.18        discSKSSplit      77.6497672064    1.28     0.4504183721
68.159384626	76.1117690531         0.18        discSKKSNull              NaN     NaN     0.4504183721
50.0360204949	-14.5895817802        0.18        discSKKSSplit    25.4022746387     1        0.6533820102
57.5748886032	3.931617871           0.18        discSKSNull               NaN     NaN     0.6533820102
67.1378284915	37.9887984282         0.18        discSKSSplit     -87.7737223354    0.92     0.9792388654
68.4423772332	72.9289692964         0.18        discSKKSNull              NaN     NaN     0.9792388654
56.3998211122	1.5834870084          0.18        discSKSSplit      -57.051734601    0.8      0.5652866963
48.590865185	-15.9881630968        0.18        discSKKSNull              NaN     NaN     0.5652866963
67.1160140081	97.8154825357         0.18        discSKKSSplit    13.1054685481     0.7      0.341759616
71.2018057968	63.2092648464         0.18        discSKSNull               NaN     NaN     0.341759616
62.5463456053	43.2564400791         0.18        discSKSSplit     -82.0560207984    1.2      0.6498256158
63.2262097392	72.1725469771         0.18        discSKKSNull              NaN     NaN     0.6498256158
73.2005132721	61.066159622          0.18        discSKKSSplit    -13.3304109438    0.74     0.0348106648
68.6514589704	22.2421701615         0.18        discSKSNull               NaN     NaN     0.0348106648
50.6142742989	-15.6331028081        0.18        discSKKSSplit     47.092422709     0.8      0.5109393536
58.539295485	2.2567671709          0.18        discSKSNull               NaN     NaN     0.5109393536
51.3517497354	-16.4619526951        0.18        discSKKSSplit    31.1850786824     0.7      0.8020871194
59.0272941836	2.190520933           0.18        discSKSNull               NaN     NaN     0.8020871194
68.7679555777	85.41608177           0.18        discSKKSSplit    2.9966316075      0.9      0.598984893
69.9581773621	48.2365464393         0.18        discSKSNull               NaN     NaN     0.598984893
67.9335712886	91.9849904788         0.18        discSKKSSplit    10.7906091525     1.1      0.9297293287
70.5218006472	55.0694925848         0.18        discSKSNull               NaN     NaN     0.9297293287
71.8272227494	46.1655165833         0.18        discSKSSplit     83.888361627      0.9      0.6500924323
72.9093846084	90.7101297612         0.18        discSKKSSplit             NaN     NaN     0.6500924323
68.7188573300	68.1709672924         0.18        discSKKSSplit    0.3363288382      0.86     0.576074272
66.4517818397	33.913515808          0.18        discSKSNull               NaN     NaN     0.576074272
58.3112962436	-1.058841829          0.18        sameSKSNull                NaN     NaN     NaN
68.1815018145	62.6854599959         0.18        discSKKSSplit    -16.6843899527    1.64     0.6600797142
64.9497902984	30.218775459          0.18        discSKSNull               NaN     NaN	 0.6600797142
56.7494589248	42.7978528602         0.18        discSKSSplit   -47.4963653891      0.56     0.4243381315
51.852527486	62.590755126          0.18        discSKKSNull              NaN     NaN     0.4243381315	                                                                
