47.0530274231	-18.6891541137        0.18        sameSKKSNull               NaN     NaN     NaN
55.1407253037	-2.5116128388         0.18        sameSKSNull                NaN     NaN     NaN
52.4172103728	67.9783997059         0.18        sameSKKSNull               NaN     NaN     NaN
58.2133794672	48.8313535687         0.18        sameSKSNull                NaN     NaN     NaN
38.8809095268	6.0489094347          0.18        sameSKKSNull               NaN     NaN     NaN
51.3055423925	12.480959623          0.18        sameSKSNull                NaN     NaN     NaN
68.6596402185	102.5509143756        0.18        sameSKKSSplit    4.9019083505       1.1    NaN
73.3686345017	64.3218904278         0.18        sameSKSSplit     16.9019083505      0.8    NaN 
57.5886486385	-24.2608762155        0.18        sameSKKSNull               NaN     NaN     NaN
66.206888184	-2.5798903661         0.18        sameSKSNull                NaN     NaN     NaN
68.1154579545	103.0866369535        0.18        sameSKKSSplit    9.5901397922       1.05     NaN
73.1627122711	67.1232745188         0.18        sameSKSSplit     1.5901397922       1.05     NaN
56.5956145967	-24.2321886145        0.18        sameSKKSNull               NaN     NaN     NaN
65.4962784795	-3.966688842          0.18        sameSKSNull                NaN     NaN     NaN
51.8954171914	-21.5164036919        0.18        sameSKKSNull               NaN     NaN     NaN
57.5789998373	-2.3882086036         0.18        sameSKSNull                NaN     NaN     NaN
68.0108637283	103.3941036305        0.18        sameSKKSSplit    11.6077593392      1.25     NaN
73.1524060457	67.3519051141         0.18        sameSKSSplit     9.6077593392       0.85     NaN
55.6637074058	-21.1889683495        0.18        sameSKKSNull               NaN     NaN     NaN
64.8629233217	-2.2767825362         0.18        sameSKSNull                NaN     NaN     NaN
60.3702585513	-40.5433056625        0.18        sameSKKSNull               NaN     NaN     NaN
67.6298804755	-18.8079328307        0.18        sameSKSNull                NaN     NaN     NaN
78.9266289757	103.725743704         0.18        sameSKKSNull               NaN     NaN     NaN
75.7300645994	42.6087516604         0.18        sameSKSNull                NaN     NaN     NaN
57.6036812635	-29.5951733768        0.18        sameSKKSNull               NaN     NaN     NaN
66.0034227336	-8.6643146554         0.18        sameSKSNull                NaN     NaN     NaN
57.1738528662	-29.3402261567        0.18        sameSKKSNull               NaN     NaN     NaN
65.6562566636	-9.1125991868         0.18        sameSKSNull                NaN     NaN     NaN
56.7572920914	-25.0281680015        0.18        sameSKKSNull               NaN     NaN     NaN
65.5870718297	-4.5853893567         0.18        sameSKSNull                NaN     NaN     NaN
56.7212765526	-24.9941320805        0.18        sameSKKSNull               NaN     NaN     NaN
65.560013849	-4.6057300104         0.18        sameSKSNull                NaN     NaN     NaN
