# station	network	lat	lon	useless	depth
A269A	Z3	47.638560	18.382360	0.	0.
A270A	Z3	47.845200	19.018600	0.	0.
A331A	Z3	49.150114	18.220939	0.	0.
A332A	Z3	48.804489	18.464488	0.	0.
A333A	Z3	48.715571	17.104104	0.	0.
A334A	Z3	48.604392	17.674728	0.	0.
A335A	Z3	48.446947	18.335925	0.	0.
A336A	Z3	48.233339	18.999038	0.	0.
A337A	Z3	48.244305	17.789761	0.	0.
A338A	Z3	48.015155	18.352506	0.	0.
A339A	Z3	47.829403	17.655876	0.	0.
A072A	Z3	49.468300	13.173500	0.	0.
A073A	Z3	49.991600	13.233100	0.	0.
A075A	Z3	50.037700	13.873700	0.	0.
A071A	Z3	49.741900	12.691100	0.	0.
A074A	Z3	49.671500	13.530900	0.	0.
A076A	Z3	49.616800	14.149400	0.	0.
A077A	Z3	49.270500	14.073900	0.	0.
A078A	Z3	48.864000	14.284500	0.	0.
A079A	Z3	49.228800	14.707400	0.	0.
A080A	Z3	49.684000	14.928800	0.	0.
A081A	Z3	50.075200	15.034100	0.	0.
A082A	Z3	50.061000	15.650200	0.	0.
A083A	Z3	49.695900	15.607700	0.	0.
A084A	Z3	48.943400	15.700700	0.	0.
A085A	Z3	49.439200	16.196200	0.	0.
A086A	Z3	49.852800	16.145700	0.	0.
A087A	Z3	49.704900	16.889300	0.	0.
A088A	Z3	49.430300	17.291100	0.	0.
A088B	Z3	49.430500	17.291900	0.	0.
A089A	Z3	49.152100	17.092000	0.	0.
A090A	Z3	49.365500	17.827800	0.	0.
A291A	Z3	46.624600	11.880500	0.	0.
A250A	Z3	45.084000	14.910600	0.	0.
A255A	Z3	45.509000	16.050700	0.	0.
A052A	Z3	45.102600	17.513900	0.	0.
A289A	Z3	46.047300	9.761000	0.	0.
A253A	Z3	45.292600	13.816700	0.	0.
A051A	Z3	45.012500	16.906900	0.	0.
A273A	Z3	45.916300	17.816100	0.	0.
A061A	Z3	47.098350	8.925220	0.	0.
A280A	Z3	44.539100	7.908900	0.	0.
A282A	Z3	45.254500	7.613300	0.	0.
A060A	Z3	47.030500	7.890400	0.	0.
A288A	Z3	46.008200	8.481800	0.	0.
A251A	Z3	45.128600	16.266400	0.	0.
A283A	Z3	45.229600	8.320800	0.	0.
A062A	Z3	46.180800	9.112600	0.	0.
A290A	Z3	46.506800	10.902800	0.	0.
A284A	Z3	45.137100	9.383700	0.	0.
A050A	Z3	44.481800	16.531300	0.	0.
A252A	Z3	45.435600	17.848200	0.	0.
A254A	Z3	45.314800	15.805000	0.	0.
A286A	Z3	45.366000	8.833800	0.	0.
A060B	Z3	46.993000	7.977640	0.	0.
A283B	Z3	45.238000	8.288500	0.	0.
A285A	Z3	44.893900	9.909800	0.	0.
A287A	Z3	45.622500	8.361000	0.	0.
A281A	Z3	44.853400	7.709900	0.	0.
A300A	Z3	45.819313	13.127954	0.	0.
A301A	Z3	45.619781	12.620993	0.	0.
A302A	Z3	45.633530	11.971315	0.	0.
A303A	Z3	45.344273	12.318220	0.	0.
A304A	Z3	45.016739	12.033501	0.	0.
A305A	Z3	44.959236	12.432347	0.	0.
A306A	Z3	44.535919	10.596118	0.	0.
A307A	Z3	44.660755	11.436312	0.	0.
A308A	Z3	44.582485	12.005684	0.	0.
A309A	Z3	44.170353	12.244515	0.	0.
A312A	Z3	45.107380	10.481657	0.	0.
A313A	Z3	45.313467	10.662822	0.	0.
A316A	Z3	42.333679	10.295717	0.	0.
A317A	Z3	43.049999	9.842445	0.	0.
A318A	Z3	43.120987	10.573185	0.	0.
A319A	Z3	43.476425	10.578689	0.	0.
A414A	Z3	42.178267	5.858317	0.	0.
A409A	Z3	43.348183	7.516717	0.	0.
A404A	Z3	42.178250	5.019267	0.	0.
A417A	Z3	42.879617	7.517817	0.	0.
A428A	Z3	41.710233	6.963833	0.	0.
A420A	Z3	43.453733	9.195483	0.	0.
A402A	Z3	42.879330	5.300500	0.	0.
A421A	Z3	41.715300	5.849967	0.	0.
A418A	Z3	42.999917	8.070900	0.	0.
A415A	Z3	42.411900	6.410933	0.	0.
A434A	Z3	43.850317	9.229867	0.	0.
A405A	Z3	42.411567	5.303650	0.	0.
A423A	Z3	42.178400	6.964050	0.	0.
A412A	Z3	41.647583	4.744833	0.	0.
A406A	Z3	42.646667	5.856667	0.	0.
A430A	Z3	42.177900	7.980917	0.	0.
A151A	Z3	48.882000	6.379850	0.	0.
A152A	Z3	48.724800	6.853920	0.	0.
A153A	Z3	48.318000	4.796800	0.	0.
A154A	Z3	48.441700	5.515230	0.	0.
A155A	Z3	48.431200	6.084040	0.	0.
A156A	Z3	47.946700	4.534100	0.	0.
A157A	Z3	48.002500	5.732580	0.	0.
A157B	Z3	47.992900	5.799340	0.	0.
A158A	Z3	48.004400	6.347000	0.	0.
A159A	Z3	47.643900	4.317890	0.	0.
A160A	Z3	47.690800	5.050200	0.	0.
A161A	Z3	47.583500	6.010800	0.	0.
A162A	Z3	47.305500	4.579350	0.	0.
A163A	Z3	47.197000	5.201020	0.	0.
A164A	Z3	47.104200	5.810400	0.	0.
A165A	Z3	46.910200	3.498400	0.	0.
A166A	Z3	46.981600	4.147980	0.	0.
A166B	Z3	46.982100	4.147690	0.	0.
A167A	Z3	46.746900	5.319510	0.	0.
A168A	Z3	46.560400	3.932900	0.	0.
A169A	Z3	46.596300	4.581830	0.	0.
A170A	Z3	46.378100	3.447400	0.	0.
A171A	Z3	46.200800	4.112500	0.	0.
A172A	Z3	46.385800	5.213200	0.	0.
A172B	Z3	46.410100	5.264680	0.	0.
A173A	Z3	46.329600	6.680800	0.	0.
A174A	Z3	45.992600	4.461900	0.	0.
A175A	Z3	45.942700	5.074700	0.	0.
A176A	Z3	45.717800	4.066600	0.	0.
A177A	Z3	45.596300	4.608600	0.	0.
A178A	Z3	45.810700	6.200400	0.	0.
A178B	Z3	45.687700	6.304580	0.	0.
A179A	Z3	45.472300	2.972200	0.	0.
A180A	Z3	45.311300	4.042700	0.	0.
A181A	Z3	45.380500	6.302000	0.	0.
A182A	Z3	44.969500	2.806900	0.	0.
A183A	Z3	45.010700	3.663000	0.	0.
A184A	Z3	44.892000	4.451600	0.	0.
A185A	Z3	45.120900	5.072800	0.	0.
A186A	Z3	44.793200	5.589100	0.	0.
A186B	Z3	44.793000	5.589200	0.	0.
A187A	Z3	44.734300	3.339800	0.	0.
A188A	Z3	44.600100	3.936700	0.	0.
A190A	Z3	44.324600	2.869500	0.	0.
A191A	Z3	44.319300	3.537800	0.	0.
A192A	Z3	44.506900	4.586900	0.	0.
A192B	Z3	44.500600	4.575260	0.	0.
A193A	Z3	44.371200	5.147620	0.	0.
A194A	Z3	44.393300	6.502300	0.	0.
