7.8543	48.969	35.457	54.543	1.8	-1.6071	267.46	0.07
7.8474	48.931	40.447	49.553	1.4	-1.366	262.45	0.07
8.856	49.263	54.909	35.091	2.1	0.40571	40.909	0.07
9.034	49.006	53.016	36.984	1	-1.0444	87.016	0.07
8.875	49.264	76.282	13.718	1.4	1.4149	42.282	0.07
7.8556	48.911	41.655	48.345	1.1	-1.1199	259.66	0.07
9.0283	48.997	52.504	37.496	1.4	-1.2932	88.504	0.07
7.8563	48.912	37.768	52.232	1	-0.82781	259.77	0.07
8.8854	49.282	61.198	28.802	1.6	0.81494	41.198	0.07
8.9028	49.295	83.197	6.8025	1.1	0.98415	41.197	0.07
8.8845	49.28	67.406	22.594	1.6	0.88138	41.406	0.07
9.1365	48.988	53.858	36.142	2	-1.4347	89.858	0.07
8.9233	49.307	69.515	20.485	1.7	1.3083	41.515	0.07
