8.6998	48.685	NaN	NaN	NaN	0.12609	34.634	0.07
8.8307	48.66	NaN	NaN	NaN	0.66877	45.016	0.07
8.8299	48.659	NaN	NaN	NaN	0.044035	45.062	0.07
8.845	48.659	NaN	NaN	NaN	0.075025	45.948	0.07
8.8589	48.649	NaN	NaN	NaN	-0.096236	47.6	0.07
8.8677	48.642	NaN	NaN	NaN	-0.050784	48.678	0.07
8.9271	48.616	NaN	NaN	NaN	0.088454	53.98	0.07
8.9181	48.606	NaN	NaN	NaN	-0.0050418	54.671	0.07
8.9521	48.602	NaN	NaN	NaN	0.25383	56.421	0.07
9.0546	48.587	NaN	NaN	NaN	-0.35594	61.692	0.07
9.0503	48.558	NaN	NaN	NaN	0.011189	64.297	0.07
9.0591	48.551	NaN	NaN	NaN	-0.53981	65.23	0.07
9.08	48.553	NaN	NaN	NaN	-0.26684	65.684	0.07
9.0638	48.531	NaN	NaN	NaN	0.013508	67.411	0.07
9.0632	48.529	NaN	NaN	NaN	0.30501	67.608	0.07
9.0406	48.509	NaN	NaN	NaN	0.54029	69.021	0.07
9.0551	48.508	NaN	NaN	NaN	0.046679	69.501	0.07
9.0602	48.505	NaN	NaN	NaN	0.53913	69.986	0.07
9.0857	48.505	NaN	NaN	NaN	0.067417	70.626	0.07
9.0809	48.497	NaN	NaN	NaN	0.05065	71.33	0.07
9.0585	48.483	NaN	NaN	NaN	-0.30816	72.248	0.07
9.0984	48.488	NaN	NaN	NaN	0.22611	72.65	0.07
9.1659	48.327	NaN	NaN	NaN	0.047059	90.118	0.07
8.1108	47.832	NaN	NaN	NaN	0.11025	196.43	0.07
8.0934	47.843	NaN	NaN	NaN	0.49921	198.02	0.07
8.0061	47.862	NaN	NaN	NaN	0.55745	204.87	0.07
7.9269	47.891	NaN	NaN	NaN	-0.33891	211.62	0.07
7.7232	48.053	NaN	NaN	NaN	-0.20228	235.77	0.07
7.6992	48.05	NaN	NaN	NaN	0.20126	236.47	0.07
7.6492	48.042	NaN	NaN	NaN	-0.17913	237.77	0.07
7.68	48.057	NaN	NaN	NaN	-0.03395	237.89	0.07
7.667	48.053	NaN	NaN	NaN	0.19367	238.1	0.07
7.6609	48.057	NaN	NaN	NaN	-0.068804	238.67	0.07
7.668	48.062	NaN	NaN	NaN	0.2246	238.86	0.07
7.6475	48.07	NaN	NaN	NaN	-0.032454	240.39	0.07
7.6362	48.077	NaN	NaN	NaN	-0.032956	241.5	0.07
7.6359	48.079	NaN	NaN	NaN	-0.041468	241.76	0.07
7.6316	48.083	NaN	NaN	NaN	-0.25015	242.22	0.07
7.6274	48.085	NaN	NaN	NaN	0.07598	242.5	0.07
7.6178	48.096	NaN	NaN	NaN	0.1699	243.94	0.07
7.6057	48.098	NaN	NaN	NaN	-0.077853	244.48	0.07
7.5973	48.106	NaN	NaN	NaN	-0.23217	245.49	0.07
7.5839	48.113	NaN	NaN	NaN	-0.16647	246.56	0.07
7.5717	48.124	NaN	NaN	NaN	-0.21115	248.05	0.07
7.5673	48.131	NaN	NaN	NaN	-0.088576	248.75	0.07
7.5666	48.13	NaN	NaN	NaN	0.090633	248.76	0.07
7.559	48.139	NaN	NaN	NaN	-0.34673	249.81	0.07
7.5332	48.189	NaN	NaN	NaN	-0.36111	255.31	0.07
7.5355	48.193	NaN	NaN	NaN	-0.41172	255.68	0.07
7.5326	48.197	NaN	NaN	NaN	0.038509	256.08	0.07
7.5334	48.197	NaN	NaN	NaN	-0.28249	256.15	0.07
7.5301	48.203	NaN	NaN	NaN	-0.19314	256.76	0.07
7.5104	48.222	NaN	NaN	NaN	-0.10791	259.05	0.07
7.572	48.548	NaN	NaN	NaN	-0.25156	293.6	0.07
7.5934	48.601	NaN	NaN	NaN	-0.16762	299.23	0.07
8.116	48.829	NaN	NaN	NaN	0.075181	344.21	0.07
