longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 82.000000 3.28 -22.51 NA(NNR) GSRMv1.2
-180.000000 84.000000 3.31 -22.51 NA(NNR) GSRMv1.2
-180.000000 86.000000 3.32 -22.51 NA(NNR) GSRMv1.2
-180.000000 88.000000 3.34 -22.51 NA(NNR) GSRMv1.2
-180.000000 90.000000 3.35 -22.51 NA(NNR) GSRMv1.2
-178.000000 -90.000000 6.56 -9.75 AN(NNR) GSRMv1.2
-178.000000 -88.000000 7.34 -9.75 AN(NNR) GSRMv1.2
-178.000000 -86.000000 8.12 -9.75 AN(NNR) GSRMv1.2
-178.000000 -84.000000 8.89 -9.75 AN(NNR) GSRMv1.2
-178.000000 -82.000000 9.65 -9.75 AN(NNR) GSRMv1.2
-178.000000 -80.000000 10.40 -9.75 AN(NNR) GSRMv1.2
-178.000000 -78.000000 11.13 -9.75 AN(NNR) GSRMv1.2
-178.000000 -76.000000 11.85 -9.75 AN(NNR) GSRMv1.2
-178.000000 -74.000000 12.56 -9.75 AN(NNR) GSRMv1.2
-178.000000 -72.000000 13.25 -9.75 AN(NNR) GSRMv1.2
-178.000000 -70.000000 13.92 -9.75 AN(NNR) GSRMv1.2
-178.000000 -68.000000 14.57 -9.75 AN(NNR) GSRMv1.2
-178.000000 -66.000000 -19.13 29.66 PA(NNR) GSRMv1.2
-178.000000 -64.000000 -21.33 29.66 PA(NNR) GSRMv1.2
-178.000000 -62.000000 -23.50 29.67 PA(NNR) GSRMv1.2
-178.000000 -60.000000 -25.64 29.67 PA(NNR) GSRMv1.2
-178.000000 -58.000000 -27.74 29.67 PA(NNR) GSRMv1.2
-178.000000 -56.000000 -29.82 29.68 PA(NNR) GSRMv1.2
-178.000000 -54.000000 -31.85 29.68 PA(NNR) GSRMv1.2
-178.000000 -52.000000 -33.85 29.68 PA(NNR) GSRMv1.2
-178.000000 -50.000000 -35.81 29.69 PA(NNR) GSRMv1.2
-178.000000 -48.000000 -37.72 29.69 PA(NNR) GSRMv1.2
-178.000000 -46.000000 -39.58 29.69 PA(NNR) GSRMv1.2
-178.000000 -44.000000 -41.40 29.70 PA(NNR) GSRMv1.2
-178.000000 -42.000000 -43.16 29.70 PA(NNR) GSRMv1.2
-178.000000 -40.000000 -44.88 29.70 PA(NNR) GSRMv1.2
-178.000000 -38.000000 -46.53 29.71 PA(NNR) GSRMv1.2
-178.000000 -36.000000 -48.13 29.71 PA(NNR) GSRMv1.2
-178.000000 -34.000000 -49.68 29.71 PA(NNR) GSRMv1.2
-178.000000 -32.000000 8.06 32.49 AU(NNR) GSRMv1.2
-178.000000 -30.000000 10.17 32.49 AU(NNR) GSRMv1.2
-178.000000 -28.000000 12.27 32.50 AU(NNR) GSRMv1.2
-178.000000 -26.000000 14.35 32.50 AU(NNR) GSRMv1.2
-178.000000 -24.000000 16.41 32.50 AU(NNR) GSRMv1.2
-178.000000 -22.000000 18.45 32.51 AU(NNR) GSRMv1.2
-178.000000 -20.000000 20.47 32.51 AU(NNR) GSRMv1.2
-178.000000 -18.000000 22.47 32.51 AU(NNR) GSRMv1.2
-178.000000 -16.000000 24.44 32.51 AU(NNR) GSRMv1.2
-178.000000 -14.000000 -61.49 29.74 PA(NNR) GSRMv1.2
-178.000000 -12.000000 -62.28 29.74 PA(NNR) GSRMv1.2
