longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 74.000000 3.07 -22.80 NA(NNR) NNR-MORVEL56
-180.000000 76.000000 3.17 -22.80 NA(NNR) NNR-MORVEL56
-180.000000 78.000000 3.26 -22.80 NA(NNR) NNR-MORVEL56
-180.000000 80.000000 3.36 -22.80 NA(NNR) NNR-MORVEL56
-180.000000 82.000000 3.45 -22.80 NA(NNR) NNR-MORVEL56
-180.000000 84.000000 3.53 -22.80 NA(NNR) NNR-MORVEL56
-180.000000 86.000000 3.61 -22.80 NA(NNR) NNR-MORVEL56
-180.000000 88.000000 3.69 -22.80 NA(NNR) NNR-MORVEL56
-180.000000 90.000000 3.76 -22.80 NA(NNR) NNR-MORVEL56
-178.000000 -90.000000 5.79 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -88.000000 6.67 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -86.000000 7.54 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -84.000000 8.41 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -82.000000 9.26 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -80.000000 10.11 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -78.000000 10.94 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -76.000000 11.76 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -74.000000 12.56 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -72.000000 13.35 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -70.000000 14.12 -9.98 AN(NNR) NNR-MORVEL56
-178.000000 -68.000000 14.87 -9.99 AN(NNR) NNR-MORVEL56
-178.000000 -66.000000 -15.15 29.66 PA(NNR) NNR-MORVEL56
-178.000000 -64.000000 -17.39 29.67 PA(NNR) NNR-MORVEL56
-178.000000 -62.000000 -19.61 29.67 PA(NNR) NNR-MORVEL56
-178.000000 -60.000000 -21.80 29.67 PA(NNR) NNR-MORVEL56
-178.000000 -58.000000 -23.97 29.68 PA(NNR) NNR-MORVEL56
-178.000000 -56.000000 -26.10 29.68 PA(NNR) NNR-MORVEL56
-178.000000 -54.000000 -28.21 29.68 PA(NNR) NNR-MORVEL56
-178.000000 -52.000000 -30.28 29.69 PA(NNR) NNR-MORVEL56
-178.000000 -50.000000 -32.31 29.69 PA(NNR) NNR-MORVEL56
-178.000000 -48.000000 -34.30 29.69 PA(NNR) NNR-MORVEL56
-178.000000 -46.000000 -36.26 29.70 PA(NNR) NNR-MORVEL56
-178.000000 -44.000000 -38.16 29.70 PA(NNR) NNR-MORVEL56
-178.000000 -42.000000 -40.02 29.70 PA(NNR) NNR-MORVEL56
-178.000000 -40.000000 -41.83 29.71 PA(NNR) NNR-MORVEL56
-178.000000 -38.000000 -43.59 29.71 PA(NNR) NNR-MORVEL56
-178.000000 -36.000000 -45.29 29.71 PA(NNR) NNR-MORVEL56
-178.000000 -34.000000 -46.94 29.72 PA(NNR) NNR-MORVEL56
-178.000000 -32.000000 8.35 34.26 AU(NNR) NNR-MORVEL56
-178.000000 -30.000000 10.46 34.26 AU(NNR) NNR-MORVEL56
-178.000000 -28.000000 12.56 34.26 AU(NNR) NNR-MORVEL56
-178.000000 -26.000000 14.64 34.27 AU(NNR) NNR-MORVEL56
-178.000000 -24.000000 16.71 34.27 AU(NNR) NNR-MORVEL56
-178.000000 -22.000000 18.75 34.27 AU(NNR) NNR-MORVEL56
-178.000000 -20.000000 20.77 34.28 AU(NNR) NNR-MORVEL56
-178.000000 -18.000000 22.77 34.28 AU(NNR) NNR-MORVEL56
-178.000000 -16.000000 24.74 34.28 AU(NNR) NNR-MORVEL56
-178.000000 -14.000000 -59.99 29.74 PA(NNR) NNR-MORVEL56
-178.000000 -12.000000 -60.92 29.74 PA(NNR) NNR-MORVEL56
-178.000000 -10.000000 -61.77 29.74 PA(NNR) NNR-MORVEL56
-178.000000 -8.000000 -62.55 29.75 PA(NNR) NNR-MORVEL56
-178.000000 -6.000000 -63.25 29.75 PA(NNR) NNR-MORVEL56
-178.000000 -4.000000 -63.88 29.75 PA(NNR) NNR-MORVEL56
-178.000000 -2.000000 -64.43 29.75 PA(NNR) NNR-MORVEL56
-178.000000 0.000000 -64.90 29.75 PA(NNR) NNR-MORVEL56
-178.000000 2.000000 -65.29 29.75 PA(NNR) NNR-MORVEL56
-178.000000 4.000000 -65.61 29.75 PA(NNR) NNR-MORVEL56
-178.000000 6.000000 -65.84 29.75 PA(NNR) NNR-MORVEL56
-178.000000 8.000000 -65.99 29.75 PA(NNR) NNR-MORVEL56
-178.000000 10.000000 -66.07 29.74 PA(NNR) NNR-MORVEL56
-178.000000 12.000000 -66.06 29.74 PA(NNR) NNR-MORVEL56
-178.000000 14.000000 -65.98 29.74 PA(NNR) NNR-MORVEL56
-178.000000 16.000000 -65.81 29.74 PA(NNR) NNR-MORVEL56
-178.000000 18.000000 -65.56 29.74 PA(NNR) NNR-MORVEL56
-178.000000 20.000000 -65.24 29.74 PA(NNR) NNR-MORVEL56
-178.000000 22.000000 -64.83 29.73 PA(NNR) NNR-MORVEL56
-178.000000 24.000000 -64.35 29.73 PA(NNR) NNR-MORVEL56
-178.000000 26.000000 -63.79 29.73 PA(NNR) NNR-MORVEL56
-178.000000 28.000000 -63.15 29.73 PA(NNR) NNR-MORVEL56
-178.000000 30.000000 -62.44 29.72 PA(NNR) NNR-MORVEL56
-178.000000 32.000000 -61.65 29.72 PA(NNR) NNR-MORVEL56
-178.000000 34.000000 -60.78 29.72 PA(NNR) NNR-MORVEL56
-178.000000 36.000000 -59.84 29.71 PA(NNR) NNR-MORVEL56
-178.000000 38.000000 -58.83 29.71 PA(NNR) NNR-MORVEL56
-178.000000 40.000000 -57.74 29.71 PA(NNR) NNR-MORVEL56
-178.000000 42.000000 -56.59 29.70 PA(NNR) NNR-MORVEL56
-178.000000 44.000000 -55.36 29.70 PA(NNR) NNR-MORVEL56
-178.000000 46.000000 -54.07 29.70 PA(NNR) NNR-MORVEL56
-178.000000 48.000000 -52.71 29.69 PA(NNR) NNR-MORVEL56
-178.000000 50.000000 -51.29 29.69 PA(NNR) NNR-MORVEL56
-178.000000 52.000000 1.12 -22.94 NA(NNR) NNR-MORVEL56
-178.000000 54.000000 1.23 -22.94 NA(NNR) NNR-MORVEL56
-178.000000 56.000000 1.35 -22.94 NA(NNR) NNR-MORVEL56
-178.000000 58.000000 1.46 -22.94 NA(NNR) NNR-MORVEL56
-178.000000 60.000000 1.58 -22.93 NA(NNR) NNR-MORVEL56
-178.000000 62.000000 1.69 -22.93 NA(NNR) NNR-MORVEL56
-178.000000 64.000000 1.79 -22.93 NA(NNR) NNR-MORVEL56
-178.000000 66.000000 1.90 -22.93 NA(NNR) NNR-MORVEL56
-178.000000 68.000000 2.00 -22.93 NA(NNR) NNR-MORVEL56
-178.000000 70.000000 2.11 -22.92 NA(NNR) NNR-MORVEL56
-178.000000 72.000000 2.20 -22.92 NA(NNR) NNR-MORVEL56
-178.000000 74.000000 2.30 -22.92 NA(NNR) NNR-MORVEL56
-178.000000 76.000000 2.39 -22.92 NA(NNR) NNR-MORVEL56
-178.000000 78.000000 2.48 -22.92 NA(NNR) NNR-MORVEL56
-178.000000 80.000000 2.57 -22.92 NA(NNR) NNR-MORVEL56
-178.000000 82.000000 2.66 -22.92 NA(NNR) NNR-MORVEL56
-178.000000 84.000000 2.74 -22.92 NA(NNR) NNR-MORVEL56
-178.000000 86.000000 2.81 -22.91 NA(NNR) NNR-MORVEL56
-178.000000 88.000000 2.89 -22.91 NA(NNR) NNR-MORVEL56
-178.000000 90.000000 2.96 -22.91 NA(NNR) NNR-MORVEL56
-176.000000 -90.000000 6.13 -9.77 AN(NNR) NNR-MORVEL56
-176.000000 -88.000000 7.02 -9.77 AN(NNR) NNR-MORVEL56
-176.000000 -86.000000 7.89 -9.77 AN(NNR) NNR-MORVEL56
-176.000000 -84.000000 8.75 -9.77 AN(NNR) NNR-MORVEL56
-176.000000 -82.000000 9.61 -9.77 AN(NNR) NNR-MORVEL56
-176.000000 -80.000000 10.45 -9.77 AN(NNR) NNR-MORVEL56
-176.000000 -78.000000 11.28 -9.77 AN(NNR) NNR-MORVEL56
-176.000000 -76.000000 12.09 -9.77 AN(NNR) NNR-MORVEL56
-176.000000 -74.000000 12.89 -9.78 AN(NNR) NNR-MORVEL56
-176.000000 -72.000000 13.68 -9.78 AN(NNR) NNR-MORVEL56
-176.000000 -70.000000 14.44 -9.78 AN(NNR) NNR-MORVEL56
-176.000000 -68.000000 15.19 -9.78 AN(NNR) NNR-MORVEL56
-176.000000 -66.000000 -16.10 30.08 PA(NNR) NNR-MORVEL56
-176.000000 -64.000000 -18.32 30.08 PA(NNR) NNR-MORVEL56
-176.000000 -62.000000 -20.53 30.08 PA(NNR) NNR-MORVEL56
-176.000000 -60.000000 -22.70 30.09 PA(NNR) NNR-MORVEL56
-176.000000 -58.000000 -24.85 30.09 PA(NNR) NNR-MORVEL56
-176.000000 -56.000000 -26.97 30.09 PA(NNR) NNR-MORVEL56
-176.000000 -54.000000 -29.05 30.10 PA(NNR) NNR-MORVEL56
-176.000000 -52.000000 -31.10 30.10 PA(NNR) NNR-MORVEL56
-176.000000 -50.000000 -33.11 30.10 PA(NNR) NNR-MORVEL56
-176.000000 -48.000000 -35.08 30.11 PA(NNR) NNR-MORVEL56
-176.000000 -46.000000 -37.00 30.11 PA(NNR) NNR-MORVEL56
-176.000000 -44.000000 -38.88 30.11 PA(NNR) NNR-MORVEL56
-176.000000 -42.000000 -40.72 30.12 PA(NNR) NNR-MORVEL56
-176.000000 -40.000000 -42.50 30.12 PA(NNR) NNR-MORVEL56
-176.000000 -38.000000 -44.23 30.13 PA(NNR) NNR-MORVEL56
-176.000000 -36.000000 -45.90 30.13 PA(NNR) NNR-MORVEL56
-176.000000 -34.000000 -47.52 30.13 PA(NNR) NNR-MORVEL56
-176.000000 -32.000000 -49.09 30.13 PA(NNR) NNR-MORVEL56
-176.000000 -30.000000 -50.59 30.14 PA(NNR) NNR-MORVEL56
-176.000000 -28.000000 12.02 32.59 AU(NNR) NNR-MORVEL56
-176.000000 -26.000000 14.14 32.60 AU(NNR) NNR-MORVEL56
-176.000000 -24.000000 16.24 32.60 AU(NNR) NNR-MORVEL56
-176.000000 -22.000000 18.32 32.60 AU(NNR) NNR-MORVEL56
-176.000000 -20.000000 20.38 32.61 AU(NNR) NNR-MORVEL56
-176.000000 -18.000000 22.41 32.61 AU(NNR) NNR-MORVEL56
-176.000000 -16.000000 24.42 32.61 AU(NNR) NNR-MORVEL56
-176.000000 -14.000000 -60.25 30.16 PA(NNR) NNR-MORVEL56
-176.000000 -12.000000 -61.14 30.16 PA(NNR) NNR-MORVEL56
-176.000000 -10.000000 -61.95 30.16 PA(NNR) NNR-MORVEL56
-176.000000 -8.000000 -62.70 30.16 PA(NNR) NNR-MORVEL56
-176.000000 -6.000000 -63.36 30.16 PA(NNR) NNR-MORVEL56
-176.000000 -4.000000 -63.95 30.16 PA(NNR) NNR-MORVEL56
-176.000000 -2.000000 -64.47 30.16 PA(NNR) NNR-MORVEL56
-176.000000 0.000000 -64.90 30.16 PA(NNR) NNR-MORVEL56
-176.000000 2.000000 -65.26 30.16 PA(NNR) NNR-MORVEL56
-176.000000 4.000000 -65.53 30.16 PA(NNR) NNR-MORVEL56
-176.000000 6.000000 -65.73 30.16 PA(NNR) NNR-MORVEL56
-176.000000 8.000000 -65.85 30.16 PA(NNR) NNR-MORVEL56
-176.000000 10.000000 -65.89 30.16 PA(NNR) NNR-MORVEL56
-176.000000 12.000000 -65.85 30.16 PA(NNR) NNR-MORVEL56
-176.000000 14.000000 -65.72 30.16 PA(NNR) NNR-MORVEL56
-176.000000 16.000000 -65.52 30.16 PA(NNR) NNR-MORVEL56
-176.000000 18.000000 -65.24 30.15 PA(NNR) NNR-MORVEL56
-176.000000 20.000000 -64.88 30.15 PA(NNR) NNR-MORVEL56
-176.000000 22.000000 -64.45 30.15 PA(NNR) NNR-MORVEL56
-176.000000 24.000000 -63.93 30.15 PA(NNR) NNR-MORVEL56
-176.000000 26.000000 -63.34 30.14 PA(NNR) NNR-MORVEL56
-176.000000 28.000000 -62.66 30.14 PA(NNR) NNR-MORVEL56
