longitude_degE latitude_degN Evel_mmyr Nvel_mmyr plate_reference model
-180.000000 82.000000 1.57 -21.49 NA(NNR) GEODVEL2010
-180.000000 84.000000 1.62 -21.49 NA(NNR) GEODVEL2010
-180.000000 86.000000 1.67 -21.49 NA(NNR) GEODVEL2010
-180.000000 88.000000 1.71 -21.48 NA(NNR) GEODVEL2010
-180.000000 90.000000 1.76 -21.48 NA(NNR) GEODVEL2010
-178.000000 -90.000000 7.70 -9.42 AN(NNR) GEODVEL2010
-178.000000 -88.000000 8.43 -9.42 AN(NNR) GEODVEL2010
-178.000000 -86.000000 9.15 -9.42 AN(NNR) GEODVEL2010
-178.000000 -84.000000 9.86 -9.42 AN(NNR) GEODVEL2010
-178.000000 -82.000000 10.55 -9.42 AN(NNR) GEODVEL2010
-178.000000 -80.000000 11.24 -9.42 AN(NNR) GEODVEL2010
-178.000000 -78.000000 11.90 -9.42 AN(NNR) GEODVEL2010
-178.000000 -76.000000 12.56 -9.42 AN(NNR) GEODVEL2010
-178.000000 -74.000000 13.20 -9.42 AN(NNR) GEODVEL2010
-178.000000 -72.000000 13.82 -9.42 AN(NNR) GEODVEL2010
-178.000000 -70.000000 14.42 -9.42 AN(NNR) GEODVEL2010
-178.000000 -68.000000 15.01 -9.42 AN(NNR) GEODVEL2010
-178.000000 -66.000000 -17.23 32.12 PA(NNR) GEODVEL2010
-178.000000 -64.000000 -19.54 32.13 PA(NNR) GEODVEL2010
-178.000000 -62.000000 -21.83 32.13 PA(NNR) GEODVEL2010
-178.000000 -60.000000 -24.09 32.13 PA(NNR) GEODVEL2010
-178.000000 -58.000000 -26.32 32.14 PA(NNR) GEODVEL2010
-178.000000 -56.000000 -28.52 32.14 PA(NNR) GEODVEL2010
-178.000000 -54.000000 -30.69 32.14 PA(NNR) GEODVEL2010
-178.000000 -52.000000 -32.81 32.15 PA(NNR) GEODVEL2010
-178.000000 -50.000000 -34.90 32.15 PA(NNR) GEODVEL2010
-178.000000 -48.000000 -36.94 32.15 PA(NNR) GEODVEL2010
-178.000000 -46.000000 -38.93 32.16 PA(NNR) GEODVEL2010
-178.000000 -44.000000 -40.88 32.16 PA(NNR) GEODVEL2010
-178.000000 -42.000000 -42.78 32.17 PA(NNR) GEODVEL2010
-178.000000 -40.000000 -44.62 32.17 PA(NNR) GEODVEL2010
-178.000000 -38.000000 -46.42 32.17 PA(NNR) GEODVEL2010
-178.000000 -36.000000 -48.15 32.18 PA(NNR) GEODVEL2010
-178.000000 -34.000000 -49.82 32.18 PA(NNR) GEODVEL2010
-178.000000 -32.000000 6.58 34.11 AU(NNR) GEODVEL2010
-178.000000 -30.000000 8.66 34.11 AU(NNR) GEODVEL2010
-178.000000 -28.000000 10.73 34.11 AU(NNR) GEODVEL2010
-178.000000 -26.000000 12.79 34.12 AU(NNR) GEODVEL2010
-178.000000 -24.000000 14.83 34.12 AU(NNR) GEODVEL2010
-178.000000 -22.000000 16.85 34.12 AU(NNR) GEODVEL2010
-178.000000 -20.000000 18.85 34.12 AU(NNR) GEODVEL2010
-178.000000 -18.000000 20.83 34.13 AU(NNR) GEODVEL2010
-178.000000 -16.000000 22.78 34.13 AU(NNR) GEODVEL2010
-178.000000 -14.000000 -62.93 32.21 PA(NNR) GEODVEL2010
-178.000000 -12.000000 -63.85 32.21 PA(NNR) GEODVEL2010
-178.000000 -10.000000 -64.68 32.21 PA(NNR) GEODVEL2010
-178.000000 -8.000000 -65.44 32.21 PA(NNR) GEODVEL2010
-178.000000 -6.000000 -66.12 32.21 PA(NNR) GEODVEL2010
