36.1	28.5	0.001669	128.57	0.001669	0.025
35.4	30.4	0.004015	140.42	0.004015	0.025
34.6	32.4	0.008933	143.51	0.008933	0.025
37.3	28.3	0.001518	131.14	0.001518	0.025
36.7	30.3	0.001015	147.02	0.001015	0.025
36	32.3	0.005518	157.79	0.005518	0.025
38.6	28.1	0.00174	136.68	0.00174	0.025
38	30.1	0.000358	9.6535	0.000358	0.025
37.3	32.2	0.003705	174.22	0.003705	0.025
39.8	27.9	0.00202	142.24	0.00202	0.025
39.2	29.9	0.000499	0.56107	0.000499	0.025
38.7	32	0.002703	18.75	0.002703	0.025
38.1	34	0.007459	178.22	0.007459	0.025
40.5	29.8	0.000843	152.84	0.000843	0.025
40	31.8	0.002668	31.237	0.002668	0.025
39.4	33.8	0.004705	13.107	0.004705	0.025
41.7	29.6	0.000961	148.42	0.000961	0.025
41.3	31.6	0.002053	26.868	0.002053	0.025
40.8	33.6	0.004012	24.223	0.004012	0.025
43	29.4	0.001136	152.15	0.001136	0.025
42.5	31.4	0.00204	9.4246	0.00204	0.025
42.1	33.5	0.003499	15.319	0.003499	0.025
41.7	35.5	0.001813	148.97	0.001813	0.025
43.8	31.2	0.002577	175.67	0.002577	0.025
43.4	33.3	0.004436	1.1051	0.004436	0.025
43	35.3	0.002577	140.16	0.002577	0.025
45	30.9	0.003343	165.76	0.003343	0.025
44.7	33	0.005066	174.77	0.005066	0.025
44.4	35.1	0.004892	140.63	0.004892	0.025
46.2	30.7	0.003927	160.08	0.003927	0.025
46	32.8	0.004227	168.49	0.004227	0.025
45.7	34.8	0.007115	138.79	0.007115	0.025
45.4	36.9	0.014349	126.96	0.014349	0.025
47.2	32.5	0.002554	166.35	0.002554	0.025
47	34.6	0.007461	127.25	0.007461	0.025
46.8	36.6	0.018012	124.65	0.018012	0.025
48.4	32.3	0.000896	31.187	0.000896	0.025
48.3	34.3	0.005431	100.68	0.005431	0.025
48.1	36.4	0.01925	118.91	0.01925	0.025
49.7	32	0.003373	51.636	0.003373	0.025
49.5	34.1	0.007848	78.233	0.007848	0.025
49.4	36.1	0.016074	108.37	0.016074	0.025
50.9	31.7	0.005395	56.558	0.005395	0.025
50.8	33.8	0.008915	69.012	0.008915	0.025
50.7	35.9	0.012022	94.607	0.012022	0.025
50.7	37.9	0.010007	127.43	0.010007	0.025
52	33.5	0.008091	65.839	0.008091	0.025
52	35.6	0.007648	81.725	0.007648	0.025
52	37.6	0.013712	156.76	0.013712	0.025
53.2	33.2	0.007404	66.661	0.007404	0.025
53.3	35.2	0.001014	99.405	0.001014	0.025
53.4	37.3	0.019412	162.87	0.019412	0.025
54.4	32.9	0.005708	71.732	0.005708	0.025
54.5	35	0.002598	124.57	0.002598	0.025
54.7	37	0.017791	161.04	0.017791	0.025
54.8	39	0.027478	158	0.027478	0.025
55.8	34.7	0.003983	114.21	0.003983	0.025
55.9	36.7	0.01076	154.33	0.01076	0.025
56.1	38.6	0.019237	159.13	0.019237	0.025
57	34.3	0.004888	104.21	0.004888	0.025
57.2	36.4	0.005344	143.9	0.005344	0.025
57.4	38.3	0.01006	165.93	0.01006	0.025
58.2	34	0.004922	99.668	0.004922	0.025
58.4	36	0.003133	132.61	0.003133	0.025
58.7	38	0.00626	173.93	0.00626	0.025
59.1	40	0.005774	0.5961	0.005774	0.025
59.7	35.7	0.001703	130.88	0.001703	0.025
60	37.6	0.004514	175.52	0.004514	0.025
