lon_degE lat_degN
70.44 36.53
123.8 -0.1
-26.28 -59.23
161.28 -10.42
113.08 -6.08
148.96 45.62
131.12 -7.49
167.03 -13.14
157.7 48.96
125.05 5.57
140.13 27.13
129.79 -6.78
154.74 -4.46
166.65 -12.07
-70.76 -15.32
-68.47 -23.28
-176.73 -24.69
128.25 2.91
128.27 28.86
145.11 18.93
123.79 0.04
110.69 -5.6
147.77 -7.84
-70.15 -20.24
-178.63 -20.81
124.14 7.3
168.08 -16.09
123.46 -6.71
125.83 6.27
129.76 -4.87
-69.91 -21.4
158.38 55.97
148.66 -6.09
-178.49 -18.02
146.17 -6.11
-179.96 -25.61
-67.05 -24.38
140.81 48.26
-69.09 -20.37
122.01 24.76
-68.71 -21.81
120.62 13.82
