-26.86,-60.2,20
-26.859164059905,-60.1990861907591,20.46875
-26.8583280394846,-60.1981722375448,20.9375
-26.8566557576198,-60.196343899061,21.875
-26.8533102294574,-60.1926854929253,23.75
-26.8466153127067,-60.1853617563962,27.5
-26.8399152435827,-60.1780287730505,31.25
-26.8365632749513,-60.1743588083839,33.125
-26.8332100159099,-60.1706865254826,35
-26.8317719975613,-60.169111418783,35.6662888829499
-26.8303335689115,-60.167535695979,36.332647874741
-26.8274554800867,-60.1643824007152,37.6655762291114
-26.8216943719657,-60.1580684021305,40.3322747310044
-26.810152398803,-60.1454106970609,45.6690413893526
-26.7985840152161,-60.1327132357106,51.0103056534594
-26.7869891401546,-60.1199758430376,56.3560732113143
-26.7755217926987,-60.1073678442498,61.6354556803995
-26.7640284931704,-60.0947206233984,66.9192339716901
-26.7525091627804,-60.0820340094107,72.2074135776759
-26.7409637224325,-60.069307830242,77.5
-26.7282687834941,-60.0553020889148,83.3107978594423
-26.715542225449,-60.0412483005302,89.126912393105
-26.7027839426059,-60.0271462338988,94.9483509011809
-26.6899938288204,-60.0129956563816,100.775120697231
-26.6649053435209,-59.9851997279231,112.178010498598
-26.6476506529786,-59.9660530851683,120
-26.6292684294729,-59.9456284171707,128.316210957766
-26.6108367545513,-59.9251209336212,136.638571687629
-26.5976846711654,-59.910470550279,142.567164179106
-26.5755873887895,-59.8858238228952,152.509498489537
-26.553418954065,-59.8610572218593,162.460614540196
-26.5477535879468,-59.8547213478373,165
-26.5216857110035,-59.8255340190109,176.664936727765
-26.5086148291691,-59.8108777699478,182.501932901358
-26.4955192333082,-59.7961795717236,188.341950740003
-26.4712004111181,-59.7688468143934,199.16578174378
-26.4590089986824,-59.7551259150168,204.581591531031
-26.4467961835154,-59.741368485266,210
-26.4340306068914,-59.7269750561118,215.644922069009
-26.4211654629501,-59.7124555640384,221.314420010072
-26.3993603824417,-59.6878148514891,230.879491175603
-26.3772673337061,-59.6628080012378,240.514923480173
-26.3548812609881,-59.6374275851369,250.221496159884
-26.3321969975191,-59.6116659820979,260
-26.3058385956776,-59.5816771756871,271.290854387338
-26.2833512323903,-59.5560460466643,280.863666446062
-26.260571374641,-59.5300377513246,290.505624974055
-26.2374939646134,-59.503644704505,300.217481876511
-26.2141138350459,-59.4768591255461,310
-26.1870148452241,-59.4457545409843,321.268118876023
-26.1638327228508,-59.4190958473867,330.84840112145
-26.1403535192234,-59.3920484681641,340.49665633665
-26.1243304806306,-59.373563142436,347.049681671167
-26.1165721460729,-59.3646046197216,350.213610508655
-26.0990346891233,-59.3443350323555,357.344016141245
-26.0924834622224,-59.3367563835891,360
-26.073393143771,-59.314650975024,367.716111905669
-26.0473995840872,-59.2845012597872,378.166853394176
-26.0210475528942,-59.2538758467966,388.697138499809
-25.9943304738847,-59.2227644523749,399.307878836069
-25.9672416194939,-59.1911565071796,410
-25.9634600388991,-59.1867389598803,411.421817664446
-25.9596704857256,-59.182310843016,412.845326953464
-25.9520673733497,-59.1734227637346,415.697432495386
-25.9444321018172,-59.1644919904595,418.556340878194
-25.936764490372,-59.1555182432199,421.42207647015
-25.9240095594576,-59.140579143065,426.177513909115
-25.9111648084578,-59.1255203900918,430.951810835079
-25.8982293959958,-59.110340674059,435.745079662605
-25.8852024708082,-59.0950386663254,440.55743370145
-25.8720831716037,-59.0796130195312,445.388987165494
-25.8588706269197,-59.0640623672734,450.239855181777
-25.8455639549761,-59.0483853237742,455.110153799645
-25.8321622635267,-59.0325804835421,460
-25.8041303753985,-58.9994704809246,470.179032946135
-25.7756797631195,-58.9657944508974,480.443297181012
-25.7468020808157,-58.9315391020722,490.793867695779
-25.7174887730781,-58.8966907407845,501.231837635871
-25.6927154218247,-58.8671795215777,510
-25.6764773438455,-58.8478060129518,515.721110339925
-25.6535960814878,-58.8204662787909,523.748093657487
-25.6515811331117,-58.8180564510538,524.453026404614
-25.6422214791743,-58.8068577346573,527.723442650462
-25.6417280698033,-58.8062671566172,527.895662281578
-25.6412345395073,-58.8056764118387,528.067905554689
-25.6402471159851,-58.8044944218116,528.412463046378
-25.6382708161235,-58.8021284380812,529.101861948018
-25.6362925770472,-58.7997597793171,529.791639667362
-25.634312396227,-58.7973884413824,530.481796516729
-25.63034619934,-58.79263771156,531.863248856533
-25.626372205023,-58.7878762152082,533.246221472873
-25.6254851628887,-58.7868131983642,533.554754032585
-25.6245977319524,-58.7857496443515,533.863362308618
-25.622821702779,-58.7836209233482,534.480806121155
-25.6192649689203,-58.7793570190668,535.716603569497
-25.6105903822225,-58.7689528974695,538.726620490491
-25.6018786536475,-58.7584973670499,541.743844590016
-25.5931295715467,-58.7479900797544,544.768301784382
-25.5843429227547,-58.7374306845006,547.800018114301
-25.5686724550973,-58.7185812184312,553.192741540924
-25.5488163658717,-58.6946649213452,560
-25.5085266151858,-58.6460261426195,573.724799718285
-25.4730826767703,-58.6031145555063,585.703166460287
-25.4370380553529,-58.5593574279309,597.794365946859
-25.4352644655489,-58.5572012545494,598.386997236882
-25.406997166498,-58.5227972145686,607.803266391352
-25.4003790722436,-58.5147316930919,610
-25.3989360671031,-58.5129725541094,610.478581138349
-25.3681425630851,-58.4753868579376,620.658098913648
-25.3619910246953,-58.4678679288648,622.6840416075
-25.3285884831842,-58.4269791584635,633.641205778202
-25.3244153313629,-58.4218634197373,635.004994961893
-25.288318065936,-58.3775451144101,646.754516626808
-25.2861945773694,-58.374934218635,647.44308825296
-25.2473139353097,-58.3270546302505,660
-25.2415669203759,-58.3199654429264,661.719773662561
