stacode;stalat;stalon;evdate;evlat;evlon;phase;phiSCerrmin;phiSC;phiSCerrmax;dtSCerrmin;dtSC;dtSCerrmax;SIerrmin;SI;SIerrmax;SIdiff;pair;ppCMBlat;ppCMBlon;misori;filterlow;filterhigh
ARE0;69.5349;25.5058;03-Jul-2008;-23.3700;-179.7800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.10346;-0.00929;0.08487;NaN;same;75.7301;42.6088;NaN;0.067;0.200
ARE0;69.5349;25.5058;08-Jul-2008;-15.9900;-71.7500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15327;-0.09895;-0.04463;NaN;same;57.6037;-29.5952;NaN;0.067;0.200
ARE0;69.5349;25.5058;08-Jul-2008;-15.9900;-71.7500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.02031;0.08190;0.18412;NaN;same;66.0034;-8.6643;NaN;0.067;0.200
ARE0;69.5349;25.5058;12-Jul-2009;-15.0400;-70.4400;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.09713;-0.01159;0.07395;NaN;same;57.1739;-29.3402;NaN;0.067;0.200
ARE0;69.5349;25.5058;12-Jul-2009;-15.0400;-70.4400;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.05030;0.00856;0.06742;NaN;same;65.6563;-9.1126;NaN;0.067;0.200
ARE0;69.5349;25.5058;04-Mar-2010;-22.2300;-68.3300;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.18737;-0.06526;0.05684;NaN;same;56.7573;-25.0282;NaN;0.067;0.200
ARE0;69.5349;25.5058;04-Mar-2010;-22.2300;-68.3300;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15158;-0.02242;0.10674;NaN;same;65.5871;-4.5854;NaN;0.067;0.200
ARE0;69.5349;25.5058;12-Jul-2010;-22.1500;-68.2000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00083;0.05362;0.10642;NaN;same;56.7213;-24.9941;NaN;0.067;0.200
ARE0;69.5349;25.5058;12-Jul-2010;-22.1500;-68.2000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.24106;-0.19796;-0.15486;NaN;same;65.5600;-4.6057;NaN;0.067;0.200
ARE0;69.5349;25.5058;29-Jul-2011;-23.7800;179.7600;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.10486;-0.05943;-0.01400;NaN;same;78.7059;103.2546;NaN;0.067;0.200
ARE0;69.5349;25.5058;29-Jul-2011;-23.7800;179.7600;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.06766;-0.03140;0.00486;NaN;same;75.6349;42.7336;NaN;0.067;0.200
ARE0;69.5349;25.5058;21-Jul-2014;-19.7800;-178.4400;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.00446;0.06322;0.13090;NaN;same;79.6070;108.0398;NaN;0.067;0.200
ARE0;69.5349;25.5058;21-Jul-2014;-19.7800;-178.4400;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.06602;0.13931;0.21261;NaN;same;76.3725;43.3040;NaN;0.067;0.200
ASKU;58.8946;14.8288;31-Aug-2016;-3.6900;152.7900;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.22116;-0.17737;-0.13359;NaN;same;67.3255;66.6864;NaN;0.067;0.200
ASKU;58.8946;14.8288;31-Aug-2016;-3.6900;152.7900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.12104;0.17936;0.23768;NaN;same;64.9907;34.3207;NaN;0.067;0.200
BACU;59.8540;17.1078;06-Apr-2013;-3.5200;138.4800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.13767;-0.00932;0.11903;NaN;same;60.9800;71.1532;NaN;0.067;0.200
BACU;59.8540;17.1078;06-Apr-2013;-3.5200;138.4800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.29439;-0.19288;-0.09137;NaN;same;63.1743;43.6902;NaN;0.067;0.200
BACU;59.8540;17.1078;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.05127;0.09615;0.24357;NaN;same;45.1239;-19.7647;NaN;0.067;0.200
BACU;59.8540;17.1078;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.22202;-0.11816;-0.01431;NaN;same;53.6352;-5.1473;NaN;0.067;0.200
BER;60.3838;5.3348;24-Oct-2009;-6.1300;130.3800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15721;-0.07043;0.01634;NaN;same;62.5604;59.3455;NaN;0.067;0.200
BER;60.3838;5.3348;24-Oct-2009;-6.1300;130.3800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.24686;-0.15877;-0.07068;NaN;same;64.0960;30.0515;NaN;0.067;0.200
BJUU;56.0740;13.0230;21-Sep-2013;-7.2600;119.9600;SKKS;-87.98;-76.11;-67.75;1.12;1.66;2.24;0.54899;0.74193;0.93487;NaN;same;51.9676;57.9379;NaN;0.067;0.200
BJUU;56.0740;13.0230;21-Sep-2013;-7.2600;119.9600;SKS;-90.00;-84.11;-83.93;1.62;1.96;2.22;0.58158;0.69638;0.81119;NaN;same;56.0596;37.4294;NaN;0.067;0.200
BLEU;56.3040;15.8145;21-Sep-2013;-7.2600;119.9600;SKKS;-59.66;-47.79;-39.44;0.92;1.12;1.34;0.96234;1.03517;1.10801;NaN;same;51.0908;60.5467;NaN;0.067;0.200
BLEU;56.3040;15.8145;21-Sep-2013;-7.2600;119.9600;SKS;-67.75;-57.79;-51.57;1.02;1.20;1.38;1.19828;1.26592;1.33356;NaN;same;55.6373;40.9344;NaN;0.067;0.200
BLEU;56.3040;15.8145;23-Aug-2016;-7.2800;122.4500;SKKS;-41.46;-29.91;-25.28;1.22;1.82;2.44;0.69619;0.85142;1.00665;NaN;same;52.0226;60.9512;NaN;0.067;0.200
BLEU;56.3040;15.8145;23-Aug-2016;-7.2800;122.4500;SKS;-41.46;-33.91;-31.35;1.12;1.34;1.58;0.89306;0.97638;1.05969;NaN;same;56.2099;40.4537;NaN;0.067;0.200
BLS5;59.4228;6.4560;31-Aug-2016;-3.6900;152.7900;SKKS;-25.28;-16.97;-13.15;1.74;2.04;2.38;-1.38096;-1.17561;-0.97027;NaN;same;71.2849;58.1794;NaN;0.067;0.200
BLS5;59.4228;6.4560;31-Aug-2016;-3.6900;152.7900;SKS;-21.24;-12.97;-9.10;1.62;1.88;2.12;-2.34552;-2.16802;-1.99053;NaN;same;66.6658;23.1672;NaN;0.067;0.200
BORU;57.6345;12.7697;21-Sep-2013;-7.2600;119.9600;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.01831;0.13029;0.24228;NaN;same;53.2905;59.4176;NaN;0.067;0.200
BORU;57.6345;12.7697;21-Sep-2013;-7.2600;119.9600;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.08398;-0.04092;0.00215;NaN;same;57.6143;38.3114;NaN;0.067;0.200
BORU;57.6345;12.7697;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.06791;0.16927;0.27064;NaN;same;41.6622;-21.5741;NaN;0.067;0.200
BORU;57.6345;12.7697;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.12821;0.02313;0.17446;NaN;same;50.2859;-8.5414;NaN;0.067;0.200
BORU;57.6345;12.7697;31-Aug-2016;-3.6900;152.7900;SKKS;-21.24;-3.64;15.17;0.66;0.86;1.14;-0.96222;-0.88727;-0.81232;0.609856142;disc;67.2063;61.6141;NaN;0.067;0.200
BORU;57.6345;12.7697;31-Aug-2016;-3.6900;152.7900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20246;-0.14327;-0.08407;0.609856142;disc;63.9115;30.3541;NaN;0.067;0.200
BURU;64.5836;21.3769;25-Jul-2016;-26.1100;-70.6500;SKKS;-87.98;-66.12;-39.44;0.40;0.64;1.12;0.50038;0.56196;0.62355;NaN;same;52.0967;-20.6625;NaN;0.067;0.260
BURU;64.5836;21.3769;25-Jul-2016;-26.1100;-70.6500;SKS;-81.91;-68.12;-57.64;0.70;0.90;1.16;0.77807;0.83188;0.88568;NaN;same;60.4602;-2.0953;NaN;0.067;0.260
