stacode;stalat;stalon;evdate;evlat;evlon;phase;phiSCerrmin;phiSC;phiSCerrmax;dtSCerrmin;dtSC;dtSCerrmax;SIerrmin;SI;SIerrmax;SIdiff;pair;ppCMBlat;ppCMBlon;misori;filterlow;filterhigh
GNOU;57.2900;13.7560;30-Apr-2015;-5.3900;151.8200;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.35853;-0.17889;0.00076;NaN;same;65.7936;62.0664;NaN;0.067;0.200
GNOU;57.2900;13.7560;30-Apr-2015;-5.3900;151.8200;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00089;0.08570;0.17050;NaN;same;63.0782;31.5592;NaN;0.067;0.200
GNOU;57.2900;13.7560;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00285;0.03915;0.07544;NaN;same;42.8399;-20.3621;NaN;0.067;0.200
GNOU;57.2900;13.7560;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20039;-0.11575;-0.03112;NaN;same;51.3318;-5.8878;NaN;0.067;0.200
GNOU;57.2900;13.7560;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.17168;-0.08501;0.00166;NaN;same;41.6581;-20.6559;NaN;0.067;0.200
GNOU;57.2900;13.7560;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.22776;-0.09740;0.03296;NaN;same;50.1770;-7.4311;NaN;0.067;0.200
GOTU;57.6855;18.5700;20-Oct-2015;-14.8400;167.3100;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.14652;-0.09680;-0.04707;NaN;same;68.7864;60.6266;NaN;0.067;0.200
GOTU;57.6855;18.5700;20-Oct-2015;-14.8400;167.3100;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15078;-0.05818;0.03442;NaN;same;63.2241;30.5706;NaN;0.067;0.200
GOTU;57.6855;18.5700;25-Jul-2016;-26.1100;-70.6500;SKKS;-90.00;-57.30;-33.37;0.44;0.76;1.26;1.15318;1.29527;1.43735;NaN;same;44.7678;-16.8450;NaN;0.067;0.240
GOTU;57.6855;18.5700;25-Jul-2016;-26.1100;-70.6500;SKS;-77.87;-63.30;-53.60;0.76;0.94;1.12;0.97210;1.06019;1.14828;NaN;same;52.7745;-1.1135;NaN;0.067;0.240
GOTU;57.6855;18.5700;31-Aug-2016;-3.6900;152.7900;SKKS;73.82;76.25;85.96;0.90;1.12;1.32;0.90501;0.98882;1.07263;NaN;same;64.8242;68.2333;NaN;0.067;0.260
GOTU;57.6855;18.5700;31-Aug-2016;-3.6900;152.7900;SKS;-85.96;-75.75;-71.80;1.06;1.26;1.46;1.31192;1.43600;1.56008;NaN;same;63.1778;38.3427;NaN;0.067;0.260
GRAU;60.3342;18.5396;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.22235;-0.04328;0.13579;NaN;same;46.0238;-19.0760;NaN;0.067;0.200
GRAU;60.3342;18.5396;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.01893;0.15295;0.28697;NaN;same;54.4685;-3.9385;NaN;0.067;0.200
HAMF;70.6425;23.6842;12-Jul-2010;-22.1500;-68.2000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.16965;-0.08907;-0.00849;NaN;same;57.0274;-27.4597;NaN;0.067;0.200
HAMF;70.6425;23.6842;12-Jul-2010;-22.1500;-68.2000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.08190;-0.02007;0.04175;NaN;same;66.2104;-7.6407;NaN;0.067;0.200
HAMF;70.6425;23.6842;03-Sep-2011;-56.4500;-26.8500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.16645;-0.06093;0.04458;NaN;same;51.3856;4.2212;NaN;0.067;0.200
HAMF;70.6425;23.6842;03-Sep-2011;-56.4500;-26.8500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20061;-0.05947;0.08168;NaN;same;63.7384;13.3181;NaN;0.067;0.200
HAMF;70.6425;23.6842;22-Nov-2011;-15.3600;-65.0900;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.06522;0.19261;0.32001;NaN;same;55.9352;-28.5251;NaN;0.067;0.200
HAMF;70.6425;23.6842;22-Nov-2011;-15.3600;-65.0900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00188;0.09078;0.17968;NaN;same;65.0847;-10.9024;NaN;0.067;0.200
HAMF;70.6425;23.6842;07-May-2015;-7.2300;154.5500;SKKS;-3.03;14.74;29.33;0.82;1.14;1.50;-1.52492;-1.10829;-0.69167;NaN;same;69.5706;105.3162;NaN;0.067;0.260
HAMF;70.6425;23.6842;07-May-2015;-7.2300;154.5500;SKS;15.17;24.74;33.37;1.12;1.52;1.90;-1.20247;-1.10817;-1.01386;NaN;same;74.6880;65.2119;NaN;0.067;0.260
HAMF;70.6425;23.6842;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.12380;-0.01173;0.10034;NaN;same;57.8978;-26.9057;NaN;0.067;0.180
HAMF;70.6425;23.6842;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.28894;-0.19286;-0.09678;NaN;same;66.9151;-5.6546;NaN;0.067;0.180
HAMF;70.6425;23.6842;31-Aug-2016;-3.6900;152.7900;SKKS;-13.15;3.52;21.24;0.92;1.32;1.80;-1.38274;-1.28895;-1.19516;NaN;same;68.9847;105.7297;NaN;0.067;0.200
HAMF;70.6425;23.6842;31-Aug-2016;-3.6900;152.7900;SKS;9.10;17.52;25.28;1.12;1.32;1.54;-1.45205;-1.37721;-1.30237;NaN;same;74.4486;68.2212;NaN;0.067;0.200
HAMF;70.6425;23.6842;09-May-2017;-14.6000;167.3800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20108;-0.11751;-0.03395;NaN;same;74.6712;109.1599;NaN;0.067;0.200
HAMF;70.6425;23.6842;09-May-2017;-14.6000;167.3800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.17958;-0.09360;-0.00761;NaN;same;76.5865;54.0926;NaN;0.067;0.200
HAMF;70.6425;23.6842;19-Aug-2017;-17.9700;-178.8500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.09305;0.17856;0.26408;NaN;same;80.2733;117.0955;NaN;0.067;0.200
HAMF;70.6425;23.6842;19-Aug-2017;-17.9700;-178.8500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.12221;-0.06766;-0.01311;NaN;same;77.9993;43.3512;NaN;0.067;0.200
HARU;66.1635;20.9752;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.10055;0.16979;0.23902;NaN;same;53.3720;-22.6285;10;0.067;0.200
HARU;66.1635;20.9752;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.06069;0.12424;0.18780;NaN;same;61.9761;-3.7005;10;0.067;0.200
HARU;66.1635;20.9752;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.22054;-0.03327;0.15401;NaN;same;51.9760;-22.4515;10;0.067;0.200
HARU;66.1635;20.9752;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20065;-0.03104;0.13857;NaN;same;60.8855;-5.2587;10;0.067;0.200
HASU;62.1532;16.6136;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00131;0.01462;0.02792;NaN;same;48.4081;-21.6403;NaN;0.067;0.200
HASU;62.1532;16.6136;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.09498;0.14356;0.19215;NaN;same;57.0015;-5.2682;NaN;0.067;0.200
HASU;62.1532;16.6136;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.07897;0.12986;0.18076;NaN;same;47.0709;-21.7439;NaN;0.067;0.160
HASU;62.1532;16.6136;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.12214;0.16366;0.20518;NaN;same;55.8746;-6.7740;NaN;0.067;0.160
HEF;68.3916;23.6572;04-Mar-2010;-22.2300;-68.3300;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.03414;0.07519;0.18452;NaN;same;55.3317;-24.4688;NaN;0.067;0.200
HEF;68.3916;23.6572;04-Mar-2010;-22.2300;-68.3300;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.04330;0.02020;0.08370;NaN;same;64.0991;-5.0739;NaN;0.067;0.200
HEF;68.3916;23.6572;20-Oct-2015;-14.8400;167.3100;SKKS;-27.30;-5.70;13.15;0.40;0.50;0.70;-0.52227;-0.47374;-0.42521;0.308429191;disc;74.1606;99.0319;NaN;0.067;0.240
HEF;68.3916;23.6572;20-Oct-2015;-14.8400;167.3100;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.11678;-0.05721;0.00236;0.308429191;disc;74.2945;48.9094;NaN;0.067;0.240
HEF;68.3916;23.6572;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.11283;0.17668;0.24052;NaN;same;56.0910;-23.7257;NaN;0.067;0.200
HEF;68.3916;23.6572;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.10368;0.13088;0.15807;NaN;same;64.7116;-3.1813;NaN;0.067;0.200
HFC2;60.1335;13.6945;23-Jul-2007;-4.4700;149.8500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.23293;-0.09368;0.04557;NaN;same;67.3585;67.9241;NaN;0.067;0.200
HFC2;60.1335;13.6945;23-Jul-2007;-4.4700;149.8500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.10829;0.01188;0.13205;NaN;same;65.9151;34.8169;NaN;0.067;0.200
HFC2;60.1335;13.6945;24-Oct-2009;-6.1300;130.3800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.29830;-0.19670;-0.09509;NaN;same;58.9465;66.0939;NaN;0.067;0.200
HFC2;60.1335;13.6945;24-Oct-2009;-6.1300;130.3800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.23112;-0.15792;-0.08471;NaN;same;62.1785;40.4223;NaN;0.067;0.200
HFC2;60.1335;13.6945;31-Aug-2016;-3.6900;152.7900;SKKS;-21.24;0.41;23.26;0.60;0.88;1.20;-0.65395;-0.59289;-0.53182;0.558497258;disc;68.7122;68.3709;NaN;0.067;0.220
HFC2;60.1335;13.6945;31-Aug-2016;-3.6900;152.7900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.02668;0.08479;0.14290;0.558497258;disc;66.4848;34.0792;NaN;0.067;0.220
HUSU;63.3416;19.2184;01-Nov-2014;-19.7000;-177.7900;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.14010;0.19337;0.24663;NaN;same;79.0808;65.1225;NaN;0.067;0.200
HUSU;63.3416;19.2184;01-Nov-2014;-19.7000;-177.7900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00640;0.06736;0.12832;NaN;same;69.9874;27.6491;NaN;0.067;0.200
JOF;62.9182;31.3124;12-Jul-2007;-7.9300;-74.3800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.26234;-0.15844;-0.05455;NaN;same;56.3427;-21.6163;NaN;0.067;0.200
JOF;62.9182;31.3124;12-Jul-2007;-7.9300;-74.3800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.01614;0.03110;0.07835;NaN;same;62.0725;0.4566;NaN;0.067;0.200
JOF;62.9182;31.3124;08-Jul-2008;-15.9900;-71.7500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.01291;0.02161;0.05612;NaN;same;54.8564;-16.9701;NaN;0.067;0.160
JOF;62.9182;31.3124;08-Jul-2008;-15.9900;-71.7500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.13633;-0.08273;-0.02914;NaN;same;61.2185;4.7304;NaN;0.067;0.160
JOF;62.9182;31.3124;30-Aug-2008;-6.1500;147.2600;SKKS;11.12;23.26;35.39;0.90;1.10;1.40;-1.46379;-1.32770;-1.19162;NaN;same;60.4741;88.1742;NaN;0.067;0.200
JOF;62.9182;31.3124;30-Aug-2008;-6.1500;147.2600;SKS;7.08;13.26;21.24;1.30;1.60;1.80;-1.52155;-1.36595;-1.21036;NaN;same;64.6288;61.5035;NaN;0.067;0.200
JOF;62.9182;31.3124;12-Jul-2009;-15.0400;-70.4400;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;0.05684;0.17126;0.28568;NaN;same;54.4561;-16.9953;NaN;0.067;0.200
JOF;62.9182;31.3124;12-Jul-2009;-15.0400;-70.4400;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.08040;-0.03388;0.01264;NaN;same;60.9475;4.1264;NaN;0.067;0.200
JOF;62.9182;31.3124;20-Mar-2010;-3.3600;152.2400;SKKS;13.15;29.33;43.48;1.10;1.60;2.20;-1.71407;-1.56527;-1.41647;NaN;same;62.8181;90.6044;NaN;0.022;0.170
JOF;62.9182;31.3124;20-Mar-2010;-3.3600;152.2400;SKS;5.06;17.33;31.35;1.10;1.30;1.60;-1.01703;-0.92700;-0.83697;NaN;same;65.9919;61.6298;NaN;0.022;0.170
JOF;62.9182;31.3124;22-Nov-2011;-15.3600;-65.0900;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.22646;-0.18400;-0.14154;NaN;same;52.6654;-14.9454;NaN;0.033;0.200
JOF;62.9182;31.3124;22-Nov-2011;-15.3600;-65.0900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.10826;-0.06805;-0.02784;NaN;same;59.7680;4.2688;NaN;0.033;0.200
JOF;62.9182;31.3124;06-Jul-2012;-14.6600;167.3400;SKKS;17.19;23.08;27.30;1.60;1.90;2.20;-0.90051;-0.75748;-0.61444;NaN;same;67.9171;87.0663;NaN;0.067;0.260
JOF;62.9182;31.3124;06-Jul-2012;-14.6600;167.3400;SKS;-13.15;11.08;31.35;0.50;0.70;1.00;-0.77920;-0.68963;-0.60005;NaN;same;67.4562;51.7575;NaN;0.067;0.260
JOF;62.9182;31.3124;20-Oct-2015;-14.8400;167.3100;SKKS;7.08;15.19;23.26;1.20;1.50;1.80;-0.98280;-0.84578;-0.70876;NaN;same;67.8772;87.0111;NaN;0.067;0.240
JOF;62.9182;31.3124;20-Oct-2015;-14.8400;167.3100;SKS;9.10;15.19;23.26;0.90;1.00;1.20;-1.08056;-1.00153;-0.92250;NaN;same;67.4352;51.7488;NaN;0.067;0.240
JOF;62.9182;31.3124;31-Aug-2016;-3.6900;152.7900;SKKS;11.12;16.95;25.28;1.32;1.54;1.74;-1.65219;-1.54190;-1.43161;NaN;same;63.0438;90.4422;NaN;0.067;0.200
JOF;62.9182;31.3124;31-Aug-2016;-3.6900;152.7900;SKS;7.08;14.95;21.24;1.26;1.46;1.66;-1.93584;-1.84053;-1.74521;NaN;same;66.0808;61.1929;NaN;0.067;0.200
JOF;62.9182;31.3124;15-Apr-2017;-23.2400;-67.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.14720;-0.07118;0.00483;NaN;same;53.0042;-12.3639;NaN;0.067;0.200
JOF;62.9182;31.3124;15-Apr-2017;-23.2400;-67.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.19235;-0.12142;-0.05050;NaN;same;60.1797;7.9105;NaN;0.067;0.200
JOF;62.9182;31.3124;09-May-2017;-14.6000;167.3800;SKKS;3.03;11.01;19.21;1.04;1.26;1.48;-1.55003;-1.44864;-1.34725;NaN;same;67.9426;87.0910;NaN;0.067;0.200
JOF;62.9182;31.3124;09-May-2017;-14.6000;167.3800;SKS;-11.12;3.01;19.21;0.68;0.90;1.18;-1.12196;-1.05462;-0.98728;NaN;same;67.4683;51.7567;NaN;0.067;0.200
JOF;62.9182;31.3124;17-Jun-2017;-24.1000;179.5900;SKKS;-21.24;1.52;21.24;0.48;0.74;1.04;-0.93047;-0.82595;-0.72143;NaN;same;71.7299;81.0136;NaN;0.067;0.260
JOF;62.9182;31.3124;17-Jun-2017;-24.1000;179.5900;SKS;-27.30;-12.48;1.01;0.66;0.96;1.30;-0.35147;-0.23187;-0.11227;NaN;same;67.6474;44.5021;NaN;0.067;0.260
JOF;62.9182;31.3124;13-Jul-2017;-4.7900;153.1600;SKKS;-1.01;7.06;15.17;1.70;2.10;2.50;-2.05448;-1.73043;-1.40637;NaN;same;62.9725;90.5061;NaN;0.067;0.220
JOF;62.9182;31.3124;13-Jul-2017;-4.7900;153.1600;SKS;15.17;23.06;29.33;1.26;1.52;1.78;-2.20796;-2.03085;-1.85374;NaN;same;66.0546;60.9617;NaN;0.067;0.220
KAF;62.1112;26.3095;12-Jul-2007;-7.9300;-74.3800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.08777;-0.03358;0.02061;NaN;same;53.8764;-24.0861;NaN;0.067;0.200
KAF;62.1112;26.3095;12-Jul-2007;-7.9300;-74.3800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.12282;0.18702;0.25122;NaN;same;60.0538;-4.2918;NaN;0.067;0.200
KAF;62.1112;26.3095;21-Jul-2007;-22.1500;-65.7800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20770;-0.15844;-0.10918;NaN;same;50.1264;-14.9564;NaN;0.067;0.200
KAF;62.1112;26.3095;21-Jul-2007;-22.1500;-65.7800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.05256;0.19477;0.33698;NaN;same;57.9633;2.8175;NaN;0.067;0.200
KAF;62.1112;26.3095;24-Oct-2009;-6.1300;130.3800;SKKS;23.26;34.36;47.53;0.90;1.20;1.50;-1.41935;-1.32232;-1.22528;NaN;same;55.2865;78.5723;NaN;0.067;0.220
KAF;62.1112;26.3095;24-Oct-2009;-6.1300;130.3800;SKS;17.19;24.36;31.35;0.90;1.00;1.10;-0.99355;-0.95296;-0.91237;NaN;same;60.9849;57.6223;NaN;0.067;0.220
KAF;62.1112;26.3095;24-May-2010;-8.0800;-71.5600;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.14866;-0.08900;-0.02934;NaN;same;52.9876;-22.7826;NaN;0.067;0.200
KAF;62.1112;26.3095;24-May-2010;-8.0800;-71.5600;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.14424;-0.08058;-0.01692;NaN;same;59.4162;-3.9166;NaN;0.067;0.200
KAF;62.1112;26.3095;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20055;-0.13672;-0.07288;NaN;same;50.1878;-14.9458;NaN;0.067;0.140
KAF;62.1112;26.3095;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.04041;0.09722;0.15404;NaN;same;58.0062;2.8855;NaN;0.067;0.140
KAF;62.1112;26.3095;31-Aug-2016;-3.6900;152.7900;SKKS;-9.10;2.36;17.19;0.90;1.20;1.60;-1.26228;-1.17138;-1.08048;NaN;same;64.6393;84.8404;NaN;0.067;0.220
KAF;62.1112;26.3095;31-Aug-2016;-3.6900;152.7900;SKS;-17.19;-5.64;17.19;0.60;0.90;1.30;-0.72724;-0.67366;-0.62007;NaN;same;66.3439;53.5478;NaN;0.067;0.220
KEF;62.1664;24.8706;21-Jul-2007;-22.1500;-65.7800;SKKS;25.28;41.79;57.64;0.60;0.80;1.10;-0.80789;-0.73738;-0.66687;0.779935816;disc;49.6925;-16.0390;NaN;0.063;0.220
KEF;62.1664;24.8706;21-Jul-2007;-22.1500;-65.7800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.11307;0.18526;0.25745;0.779935816;disc;57.7173;1.3586;NaN;0.063;0.220
KEF;62.1664;24.8706;08-Jul-2008;-15.9900;-71.7500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.24648;-0.18707;-0.12765;NaN;same;51.9361;-20.6924;NaN;0.067;0.180
KEF;62.1664;24.8706;08-Jul-2008;-15.9900;-71.7500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.21771;-0.16029;-0.10287;NaN;same;59.0065;-1.6071;NaN;0.067;0.180
KEF;62.1664;24.8706;24-May-2010;-8.0800;-71.5600;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.09713;0.00715;0.11143;NaN;same;52.4824;-23.8575;NaN;0.067;0.200
KEF;62.1664;24.8706;24-May-2010;-8.0800;-71.5600;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.08625;-0.00152;0.08321;NaN;same;59.0715;-5.5497;NaN;0.067;0.200
KEF;62.1664;24.8706;01-May-2014;-21.5000;170.3500;SKKS;83.93;-75.87;-63.71;0.60;1.00;1.40;0.80581;0.91805;1.03029;NaN;same;70.3075;75.0098;NaN;0.067;0.200
KEF;62.1664;24.8706;01-May-2014;-21.5000;170.3500;SKS;69.78;76.13;-92.02;0.90;1.20;1.50;1.07135;1.17932;1.28730;NaN;same;66.9153;39.2628;NaN;0.067;0.200
KEF;62.1664;24.8706;21-Jul-2014;-19.7800;-178.4400;SKKS;59.66;75.56;-92.02;0.60;0.80;1.00;0.75734;0.79487;0.83241;NaN;same;75.3725;71.2930;NaN;0.067;0.200
KEF;62.1664;24.8706;21-Jul-2014;-19.7800;-178.4400;SKS;61.69;77.56;-90.00;0.80;1.10;1.30;1.06950;1.13467;1.19984;NaN;same;68.1631;35.3306;NaN;0.067;0.200
KEF;62.1664;24.8706;24-Aug-2014;-14.5900;-73.5800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.15545;-0.11685;-0.07824;NaN;same;52.6579;-21.8926;NaN;0.067;0.200
KEF;62.1664;24.8706;24-Aug-2014;-14.5900;-73.5800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.11884;-0.08184;-0.04485;NaN;same;59.4469;-2.2482;NaN;0.067;0.200
KEF;62.1664;24.8706;01-Nov-2014;-19.7000;-177.7900;SKKS;63.71;74.70;85.96;0.60;0.70;0.90;0.70952;0.75283;0.79613;NaN;same;75.6788;71.2093;NaN;0.067;0.260
KEF;62.1664;24.8706;01-Nov-2014;-19.7000;-177.7900;SKS;69.78;76.70;85.96;1.20;1.40;1.60;1.35191;1.45097;1.55003;NaN;same;68.2563;35.1512;NaN;0.067;0.260
KEF;62.1664;24.8706;04-Aug-2016;-22.3300;-66.0000;SKKS;37.42;47.88;57.64;0.90;1.10;1.40;-1.00290;-0.94703;-0.89116;0.89612732;disc;49.7421;-16.0494;NaN;0.067;0.200
KEF;62.1664;24.8706;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.00497;0.06931;0.13365;0.89612732;disc;57.7625;1.4278;NaN;0.067;0.200
KEF;62.1664;24.8706;31-Aug-2016;-3.6900;152.7900;SKKS;-19.21;-1.06;27.30;0.60;1.10;1.80;-0.97684;-0.87621;-0.77559;0.522358539;disc;65.2883;83.6873;NaN;0.075;0.240
KEF;62.1664;24.8706;31-Aug-2016;-3.6900;152.7900;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.25323;-0.13583;-0.01844;0.522358539;disc;66.6804;51.7981;NaN;0.075;0.240
KEF;62.1664;24.8706;09-May-2017;-14.6000;167.3800;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.20721;-0.14300;-0.07879;NaN;same;70.1095;78.9851;NaN;0.067;0.260
KEF;62.1664;24.8706;09-May-2017;-14.6000;167.3800;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.25635;-0.11648;0.02340;NaN;same;67.5462;42.3554;NaN;0.067;0.260
KEF;62.1664;24.8706;13-Jul-2017;-4.7900;153.1600;SKKS;15.17;21.04;27.30;1.20;1.40;1.60;-1.40231;-1.19523;-0.98816;NaN;same;65.2324;83.7557;NaN;0.067;0.300
KEF;62.1664;24.8706;13-Jul-2017;-4.7900;153.1600;SKS;-19.21;-2.96;21.24;0.50;0.80;1.20;-0.83236;-0.73076;-0.62915;NaN;same;66.6457;51.5777;NaN;0.067;0.300
KEV;69.7565;27.0036;12-Jul-2010;-22.1500;-68.2000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.12658;-0.05847;0.00964;NaN;same;57.3317;-24.5426;NaN;0.067;0.200
KEV;69.7565;27.0036;12-Jul-2010;-22.1500;-68.2000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.19500;-0.13275;-0.07051;NaN;same;66.0688;-3.5311;NaN;0.067;0.200
KEV;69.7565;27.0036;16-Oct-2013;-6.4500;154.9300;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.07229;0.09276;0.25781;NaN;same;68.2809;104.4863;NaN;0.067;0.200
KEV;69.7565;27.0036;16-Oct-2013;-6.4500;154.9300;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.13307;-0.05168;0.02971;NaN;same;73.3410;67.3202;NaN;0.067;0.200
KEV;69.7565;27.0036;25-Jul-2016;-26.1100;-70.6500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.09299;-0.02496;0.04307;NaN;same;58.2180;-23.7696;NaN;0.067;0.200
KEV;69.7565;27.0036;25-Jul-2016;-26.1100;-70.6500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.04973;0.12003;0.19033;NaN;same;66.6965;-1.4676;NaN;0.067;0.200
KEV;69.7565;27.0036;04-Aug-2016;-22.3300;-66.0000;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.31144;-0.17824;-0.04504;NaN;same;56.7260;-23.3271;NaN;0.067;0.200
KEV;69.7565;27.0036;04-Aug-2016;-22.3300;-66.0000;SKS;NaN;NaN;NaN;NaN;NaN;NaN;0.10369;0.17956;0.25543;NaN;same;65.6569;-3.1207;NaN;0.067;0.200
KIF;69.0430;20.8037;03-Jun-2008;-10.5100;161.2700;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.19711;-0.15944;-0.12178;NaN;same;73.0558;100.7911;NaN;0.067;0.200
KIF;69.0430;20.8037;03-Jun-2008;-10.5100;161.2700;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.27287;-0.17776;-0.08266;NaN;same;74.9446;51.8249;NaN;0.067;0.200
KIF;69.0430;20.8037;06-Jul-2012;-14.6600;167.3400;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.11688;-0.07151;-0.02615;NaN;same;75.5470;100.7006;NaN;0.067;0.200
KIF;69.0430;20.8037;06-Jul-2012;-14.6600;167.3400;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.05332;0.00548;0.06429;NaN;same;75.4216;46.0787;NaN;0.067;0.200
KIF;69.0430;20.8037;07-May-2015;-7.2300;154.5500;SKKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.26153;-0.17134;-0.08114;NaN;same;70.3805;99.0871;NaN;0.067;0.200
KIF;69.0430;20.8037;07-May-2015;-7.2300;154.5500;SKS;NaN;NaN;NaN;NaN;NaN;NaN;-0.17913;-0.08901;0.00112;NaN;same;73.9649;57.0343;NaN;0.067;0.200
KIF;69.0430;20.8037;31-Aug-2016;-3.6900;152.7900;SKKS;-13.15;-0.99;9.10;1.10;1.30;1.60;-1.50949;-1.44785;-1.38622;NaN;same;69.8056;99.8276;NaN;0.067;0.200
